specialisation,subspecialisation,name,lga,workspaceName,latitude,longitude
Asset,Natural Gas Power Station,Darlot Gold Mine,Leonora,Leonora Asset Model,-27.89720716,121.2697661
Asset,Natural Gas Power Station,Leonora,Leonora,Leonora Asset Model,-28.88107638,121.3212747
Asset,Natural Gas Power Station,Murrin Murrin (Nickel Mine),Leonora,Leonora Asset Model,-28.923754,121.32929
Asset,Fossil Fuel Power Station,Menzies,Menzies,Menzies Asset Model,-29.6906019,121.0251779
Asset,Major Project,Kalgoorlie Nickel Project,Menzies,Menzies Asset Model,-29.77171449,121.0501314
Asset,Major Project,NiWest Nickel Cobalt Project,Leonora,Leonora Asset Model,-28.86769742,121.7823852
Asset,Fossil Fuel Power Station,Laverton,Laverton,Laverton Asset Model,-28.62162366,122.396468
Asset,Fossil Fuel Power Station,Laverton (Granny Smith Gold Mine),Laverton,Laverton Asset Model,-28.809649,122.415029
Asset,Natural Gas Power Station,Sunrise Dam,Laverton,Laverton Asset Model,-29.09268344,122.4392845
Asset,University,Geraldton Universities Centre,Greater Geraldton,Greater Geraldton Asset Model,-28.7857256,114.6124752
